band,band_lo,band_hi,depth,n_truth_classes,embedding,metric,value
pooled (all matched),,,category,3,ESM-2,micro_precision,0.9882331725350525
pooled (all matched),,,category,3,ESM-2,macro_precision,0.9839246802139178
pooled (all matched),,,category,3,ESM-2,n,133086.0
pooled (all matched),,,category,3,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.09267691567858372
pooled (all matched),,,category,3,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.13150707895378455
pooled (all matched),,,category,3,ESM-2 minus CheckAMG-PST,n,133086.0
pooled (all matched),,,L1,28,CheckAMG-PST,micro_precision,0.587259555709353
pooled (all matched),,,L1,28,CheckAMG-PST,macro_precision,0.5522413858016046
pooled (all matched),,,L1,28,CheckAMG-PST,n,132931.0
pooled (all matched),,,L1,28,ESM-2,micro_precision,0.924652639339206
pooled (all matched),,,L1,28,ESM-2,macro_precision,0.9078022748347297
pooled (all matched),,,L1,28,ESM-2,n,132931.0
pooled (all matched),,,L1,28,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.3373930836298531
pooled (all matched),,,L1,28,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.3555608890331251
pooled (all matched),,,L1,28,ESM-2 minus CheckAMG-PST,n,132931.0
pooled (all matched),,,specific,5770,CheckAMG-PST,micro_precision,0.3823768089806591
pooled (all matched),,,specific,5770,CheckAMG-PST,macro_precision,0.2054954247147074
pooled (all matched),,,specific,5770,CheckAMG-PST,n,133086.0
pooled (all matched),,,specific,5770,ESM-2,micro_precision,0.8233097395668966
pooled (all matched),,,specific,5770,ESM-2,macro_precision,0.6490480384172048
pooled (all matched),,,specific,5770,ESM-2,n,133086.0
pooled (all matched),,,specific,5770,ESM-2 minus CheckAMG-PST,micro_precision_gap,0.44093293058623745
pooled (all matched),,,specific,5770,ESM-2 minus CheckAMG-PST,macro_precision_gap,0.44355261370249743
pooled (all matched),,,specific,5770,ESM-2 minus CheckAMG-PST,n,133086.0
