tool	seq_type	value	ecdf
DRAM-V	Mixed metagenomes	179	0.09998929
DRAM-V	Mixed metagenomes	180	0.10048923
DRAM-V	Mixed metagenomes	180	0.10098918
DRAM-V	Mixed metagenomes	181	0.10148912
DRAM-V	Mixed metagenomes	181	0.10198906
DRAM-V	Mixed metagenomes	181	0.10248901
DRAM-V	Mixed metagenomes	182	0.10298895
DRAM-V	Mixed metagenomes	182	0.10348889
DRAM-V	Mixed metagenomes	183	0.10398884
DRAM-V	Mixed metagenomes	183	0.10448878
DRAM-V	Mixed metagenomes	184	0.10498873
DRAM-V	Mixed metagenomes	184	0.10548867
DRAM-V	Mixed metagenomes	185	0.105988614
DRAM-V	Mixed metagenomes	185	0.10648856
DRAM-V	Mixed metagenomes	186	0.106988505
DRAM-V	Mixed metagenomes	186	0.107488446
DRAM-V	Mixed metagenomes	186	0.107988395
DRAM-V	Mixed metagenomes	187	0.108488336
DRAM-V	Mixed metagenomes	187	0.10898828
DRAM-V	Mixed metagenomes	188	0.10948823
DRAM-V	Mixed metagenomes	188	0.10998817
DRAM-V	Mixed metagenomes	189	0.11048811
DRAM-V	Mixed metagenomes	189	0.11098806
DRAM-V	Mixed metagenomes	190	0.111488
DRAM-V	Mixed metagenomes	190	0.11198795
DRAM-V	Mixed metagenomes	191	0.11248789
DRAM-V	Mixed metagenomes	191	0.11298783
DRAM-V	Mixed metagenomes	191	0.11348778
DRAM-V	Mixed metagenomes	192	0.11398772
DRAM-V	Mixed metagenomes	192	0.11448766
DRAM-V	Mixed metagenomes	193	0.11498761
DRAM-V	Mixed metagenomes	193	0.11548755
DRAM-V	Mixed metagenomes	194	0.115987495
DRAM-V	Mixed metagenomes	194	0.11648744
DRAM-V	Mixed metagenomes	194	0.116987385
DRAM-V	Mixed metagenomes	195	0.117487326
DRAM-V	Mixed metagenomes	195	0.117987275
DRAM-V	Mixed metagenomes	196	0.11848722
DRAM-V	Mixed metagenomes	196	0.118987165
DRAM-V	Mixed metagenomes	197	0.11948711
DRAM-V	Mixed metagenomes	197	0.11998705
DRAM-V	Mixed metagenomes	197	0.120487
DRAM-V	Mixed metagenomes	198	0.12098694
DRAM-V	Mixed metagenomes	198	0.12148688
DRAM-V	Mixed metagenomes	199	0.12198683
DRAM-V	Mixed metagenomes	199	0.12248677
DRAM-V	Mixed metagenomes	200	0.12298671
DRAM-V	Mixed metagenomes	200	0.12348666
DRAM-V	Mixed metagenomes	200	0.1239866
DRAM-V	Mixed metagenomes	201	0.12448655
DRAM-V	Mixed metagenomes	201	0.12498649
DRAM-V	Mixed metagenomes	202	0.12548643
DRAM-V	Mixed metagenomes	202	0.12598638
DRAM-V	Mixed metagenomes	203	0.12648632
DRAM-V	Mixed metagenomes	203	0.12698627
DRAM-V	Mixed metagenomes	203	0.12748621
DRAM-V	Mixed metagenomes	204	0.12798616
DRAM-V	Mixed metagenomes	204	0.1284861
DRAM-V	Mixed metagenomes	205	0.12898605
DRAM-V	Mixed metagenomes	205	0.129486
DRAM-V	Mixed metagenomes	205	0.12998593
DRAM-V	Mixed metagenomes	206	0.13048588
DRAM-V	Mixed metagenomes	206	0.13098583
DRAM-V	Mixed metagenomes	207	0.13148576
DRAM-V	Mixed metagenomes	207	0.13198571
DRAM-V	Mixed metagenomes	207	0.13248566
DRAM-V	Mixed metagenomes	208	0.13298559
DRAM-V	Mixed metagenomes	208	0.13348554
DRAM-V	Mixed metagenomes	209	0.13398549
DRAM-V	Mixed metagenomes	209	0.13448542
DRAM-V	Mixed metagenomes	210	0.13498537
DRAM-V	Mixed metagenomes	210	0.13548532
DRAM-V	Mixed metagenomes	210	0.13598526
DRAM-V	Mixed metagenomes	211	0.1364852
DRAM-V	Mixed metagenomes	211	0.13698515
DRAM-V	Mixed metagenomes	212	0.13748509
DRAM-V	Mixed metagenomes	212	0.13798504
DRAM-V	Mixed metagenomes	212	0.13848498
