function,group,genomes_with_F,group_size,prevalence_per_1000,odds_ratio,p,fdr_q,enriched,biome
Cysteine / methionine metabolism,Patescibacteriota,6,2411,2.5,1.85,0.15014700686313592,0.23138445199600122,FALSE,soil
Sterol / isoprenoid metabolism,Pseudomonadota,18,75389,0.2,1.85,0.07927845843759357,0.13495153318309466,FALSE,soil
CAZy: polysaccharide lyase (PL),Gemmatimonadota,3,1450,2.1,1.84,0.22685319622385755,0.3234659692039004,FALSE,soil
Lipid metabolism (other),Nanobdellota,3,457,6.6,1.84,0.22584042853333475,0.32278136719622846,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Actinomycetota,310,58870,5.3,1.83,1.5565312771890287e-15,1.8495253999540223e-14,TRUE,soil
BTEX / monoaromatic hydrocarbon degradation,Bacteroidota,3,15021,0.2,1.81,0.2530701499096981,0.3462274828058872,FALSE,soil
Glycerolipid / glycerophospholipid metabolism,Actinomycetota,91,58870,1.5,1.8,2.4925589182469447e-5,1.0789219317554632e-4,TRUE,soil
Alanine / aspartate / glutamate metabolism,Planctomycetota,8,3184,2.5,1.79,0.09828146780389906,0.16272833193760336,FALSE,soil
Alanine / aspartate / glutamate metabolism,Verrucomicrobiota,9,3581,2.5,1.79,0.10913142675836539,0.17730199628838988,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Patescibacteriota,15,2411,6.2,1.78,0.03574521483095645,0.07125526377486713,FALSE,soil
Cobalamin (B12) metabolism,Verrucomicrobiota,14,3581,3.9,1.78,0.04540191805461896,0.08518130755758233,FALSE,soil
Methanotrophy / methane oxidation,Thermoproteota,3,1608,1.9,1.78,0.24038240433194086,0.3356491636524336,FALSE,soil
Phosphate starvation response,Bacteroidota,33,15021,2.2,1.77,0.0032966911587562387,0.009080885646392185,TRUE,soil
Sugar interconversion,Nanobdellota,7,457,15.3,1.76,0.12825415487182898,0.20346077971813706,FALSE,soil
Polysaccharide / complex carbon degradation,Actinomycetota,658,58870,11.2,1.75,1.9003037127200003e-27,4.429169422724308e-26,TRUE,soil
Ammonia assimilation (GS-GOGAT),Bacillota,23,14558,1.6,1.73,0.01764497064066656,0.039457019218612305,TRUE,soil
Sugar interconversion,Myxococcota,22,1466,15,1.73,0.01593078982902029,0.035888693815562436,TRUE,soil
Gluconeogenesis,Chloroflexota,11,4951,2.2,1.72,0.10635075316848612,0.17371578549892883,FALSE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Patescibacteriota,6,2411,2.5,1.7,0.17807145030187443,0.2664476515628047,FALSE,soil
3HP / 4HB / DC4HB cycle,Verrucomicrobiota,3,3581,0.8,1.69,0.2691585002972452,0.3624667804002902,FALSE,soil
Sphingolipid / ceramide metabolism,Pseudomonadota,11,75389,0.1,1.69,0.27368955827770586,0.3669377706112605,FALSE,soil
Folate / one-carbon pool metabolism,Patescibacteriota,17,2411,7.1,1.68,0.03961738136212995,0.0769491445687524,FALSE,soil
Glycine / serine / threonine metabolism,Patescibacteriota,5,2411,2.1,1.68,0.23225321425769024,0.3280779669933806,FALSE,soil
Pyridoxal (B6) metabolism,Pseudomonadota,10,75389,0.1,1.68,0.25561933686778743,0.3471833947224885,FALSE,soil
ABC transporters,Acidobacteriota,5,22995,0.2,1.67,0.2466140104067498,0.3397177237046762,FALSE,soil
Fermentation,Pseudomonadota,134,75389,1.8,1.67,1.987127278684944e-5,8.789774677978658e-5,TRUE,soil
Iron uptake / siderophore / Fe homeostasis,Planctomycetota,5,3184,1.6,1.67,0.23499116678350226,0.3304052136213512,FALSE,soil
Substrate transport (other),Myxococcota,5,1466,3.4,1.67,0.23355370495486313,0.3291477795410397,FALSE,soil
Calvin-Benson-Bassham (CBB) cycle,Bacteroidota,10,15021,0.7,1.66,0.14243717323069258,0.22132545378923002,FALSE,soil
Denitrification (NO3 → N2),Actinomycetota,106,58870,1.8,1.66,6.115159112947299e-5,2.5209431445211313e-4,TRUE,soil
Folate / one-carbon pool metabolism,Actinomycetota,351,58870,6,1.66,3.8400826440562466e-13,3.944220478471331e-12,TRUE,soil
Aminotransferase / transamination,Cyanobacteriota,7,716,9.8,1.65,0.21177356743872477,0.3077572706663482,FALSE,soil
Polyketide / antibiotic biosynthesis,Patescibacteriota,29,2411,12,1.65,0.011449403240084064,0.026583671890769895,TRUE,soil
CAZy: polysaccharide lyase (PL),Chloroflexota,9,4951,1.8,1.63,0.13513515621660183,0.21153380255384774,FALSE,soil
Denitrification (NO3 → N2),Patescibacteriota,5,2411,2.1,1.63,0.24338216758508144,0.33673423186429075,FALSE,soil
Glycolysis,Planctomycetota,3,3184,0.9,1.63,0.4378554066414097,0.5415109722952944,FALSE,soil
Pyridoxal (B6) metabolism,Actinomycetota,8,58870,0.1,1.63,0.3262666414760965,0.4255075671243103,FALSE,soil
CAZy: auxiliary activity / LPMO (AA),Pseudomonadota,7,75389,0.1,1.62,0.4184791512060926,0.5228832281049322,FALSE,soil
Starch,Actinomycetota,170,58870,2.9,1.62,1.6707129438570677e-6,8.298787245716256e-6,TRUE,soil
Sugar interconversion,Actinomycetota,712,58870,12.1,1.62,8.781605398010849e-23,1.4782369086651595e-21,TRUE,soil
Sugar interconversion,Cyanobacteriota,10,716,14,1.6,0.1529371631773454,0.234632711102459,FALSE,soil
Gluconeogenesis,Patescibacteriota,5,2411,2.1,1.59,0.255297231170157,0.3471833947224885,FALSE,soil
Lysine metabolism,Patescibacteriota,3,2411,1.2,1.59,0.4436495263532365,0.5470801981874364,FALSE,soil
Iron uptake / siderophore / Fe homeostasis,Bacillota,21,14558,1.4,1.58,0.050822828151137873,0.09418542464706285,FALSE,soil
Starch,Thermoplasmatota,3,910,3.3,1.58,0.44518449688805983,0.5472247568238626,FALSE,soil
Thiamine metabolism,Bacteroidota,5,15021,0.3,1.58,0.3803311202661987,0.4842030648767151,FALSE,soil
Arginine / proline metabolism,Myxococcota,3,1466,2,1.57,0.4468366365555262,0.5481437282442284,FALSE,soil
Pantothenate / CoA metabolism,Bacteroidota,11,15021,0.7,1.57,0.17302103498463847,0.2608227542305744,FALSE,soil
Biotin metabolism,Acidobacteriota,21,22995,0.9,1.56,0.06696750925641273,0.11695190377344702,FALSE,soil
Aminotransferase / transamination,Halobacteriota,8,873,9.2,1.55,0.18692877531676985,0.27832638290408485,FALSE,soil
Glycolysis / EMP,Verrucomicrobiota,10,3581,2.8,1.55,0.16437637168322966,0.24965433894746158,FALSE,soil
Folate / one-carbon pool metabolism,Asgardarchaeota,4,614,6.5,1.54,0.337955093287257,0.43854558143913863,FALSE,soil
Phosphatase / phosphate liberation,Myxococcota,3,1466,2,1.53,0.4529809152833488,0.5534403924631237,FALSE,soil
Starch,Bacillota,45,14558,3.1,1.53,0.01072684971139042,0.02529366118716963,TRUE,soil
Substrate transport (other),Bacillota,44,14558,3,1.53,0.010108349913090136,0.0240221962640495,TRUE,soil
Alanine / aspartate / glutamate metabolism,Acidobacteriota,47,22995,2,1.51,0.012114815846079353,0.028021291613450718,TRUE,soil
Glycine / serine / threonine metabolism,Bacteroidota,27,15021,1.8,1.5,0.05369064120484856,0.09859554112163099,FALSE,soil
Methanotrophy / methane oxidation,Planctomycetota,5,3184,1.6,1.5,0.3960773418843767,0.5010915849309652,FALSE,soil
Polyketide / antibiotic biosynthesis,Nanobdellota,5,457,10.9,1.49,0.3988860449735052,0.5025466595716095,FALSE,soil
Glycolysis / EMP,Bacillota,38,14558,2.6,1.48,0.026510389765672257,0.05617236432866219,FALSE,soil
Organosulfur metabolism,Chloroflexota,3,4951,0.6,1.48,0.46290756115766735,0.5644305474075381,FALSE,soil
Amino-acid / peptide transport,Pseudomonadota,27,75389,0.4,1.47,0.1411155710627648,0.2198355682880089,FALSE,soil
Pantothenate / CoA metabolism,Pseudomonadota,46,75389,0.6,1.47,0.06374780899027799,0.11295664400031713,FALSE,soil
Calvin-Benson-Bassham (CBB) cycle,Chloroflexota,3,4951,0.6,1.46,0.46632409252549634,0.5655307014001831,FALSE,soil
Polysaccharide / complex carbon degradation,Cyanobacteriota,8,716,11.2,1.46,0.2782293613927691,0.37220086755853876,FALSE,soil
Pyruvate metabolism,Thermoproteota,3,1608,1.9,1.45,0.4690861364175768,0.5673976021338354,FALSE,soil
Lysine metabolism,Verrucomicrobiota,4,3581,1.1,1.43,0.3699843400375868,0.4762861025409835,FALSE,soil
Fatty acid degradation (β-oxidation),Pseudomonadota,46,75389,0.6,1.42,0.08326413877297285,0.1409443242916803,FALSE,soil
Heme / porphyrin / chlorophyll metabolism,Patescibacteriota,3,2411,1.2,1.42,0.47474240061272016,0.5730954079109729,FALSE,soil
Phosphate starvation response,Pseudomonadota,122,75389,1.6,1.42,0.003980004252517302,0.010533235004668452,FALSE,soil
Pyruvate metabolism,Bacillota,26,14558,1.8,1.42,0.09373056191906741,0.1569080677429692,FALSE,soil
Folate / one-carbon pool metabolism,Bacteroidota,87,15021,5.8,1.41,0.004066846442888491,0.010715256279958372,FALSE,soil
Folate / one-carbon pool metabolism,Nitrospirota,4,669,6,1.41,0.3743278356779013,0.47958280850065155,FALSE,soil
Oxidative phosphorylation / ETC,Pseudomonadota,32,75389,0.4,1.41,0.14536132068570634,0.22529145865866507,FALSE,soil
Polyketide / antibiotic biosynthesis,Gemmatimonadota,15,1450,10.3,1.41,0.21376758157982698,0.30955933542534136,FALSE,soil
Folate / one-carbon pool metabolism,Chloroflexota,29,4951,5.9,1.4,0.09520217347062017,0.15862001943289467,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Asgardarchaeota,3,614,4.9,1.39,0.48277876007921516,0.5793345120950582,FALSE,soil
Polyketide / antibiotic biosynthesis,Bacteroidota,149,15021,9.9,1.38,2.996766252853685e-4,0.001062011900134113,FALSE,soil
NAD(P) / nicotinamide metabolism,Patescibacteriota,5,2411,2.1,1.37,0.42296580010423745,0.5274018001299751,FALSE,soil
ABC-type transport,Bacillota,25,14558,1.7,1.36,0.1504380760502054,0.23138445199600122,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Myxococcota,7,1466,4.8,1.36,0.37308485370429834,0.47900301132373896,FALSE,soil
Carbohydrate metabolism (other),Bacillota,10,14558,0.7,1.36,0.3417265404231654,0.4415485788836636,FALSE,soil
Glycine / serine / threonine metabolism,Verrucomicrobiota,6,3581,1.7,1.36,0.46455954004741773,0.5653073921058939,FALSE,soil
CAZy: polysaccharide lyase (PL),Actinomycetota,82,58870,1.4,1.35,0.030684107709791412,0.06267447144532567,FALSE,soil
Glyoxylate / dicarboxylate metabolism,Bacteroidota,8,15021,0.5,1.35,0.397333412212671,0.5016334329184972,FALSE,soil
NAD(P) / nicotinamide metabolism,Bacteroidota,30,15021,2,1.35,0.12691245844910426,0.20186076068282727,FALSE,soil
Sterol / isoprenoid metabolism,Acidobacteriota,5,22995,0.2,1.35,0.5846830672458655,0.6774721582236988,FALSE,soil
Lysine metabolism,Bacillota,15,14558,1,1.34,0.2813541259510385,0.37555198309764165,FALSE,soil
Polysaccharide / complex carbon degradation,Halobacteriota,9,873,10.3,1.34,0.33154096774918357,0.4311455503347752,FALSE,soil
Alkaloid biosynthesis,Bacteroidota,4,15021,0.3,1.33,0.54798865667958,0.642323261020939,FALSE,soil
Denitrification (NO3 → N2),Bacteroidota,25,15021,1.7,1.33,0.191142889771997,0.28251851512641507,FALSE,soil
Alkaloid biosynthesis,Acidobacteriota,6,22995,0.3,1.32,0.46660948960411147,0.5655307014001831,FALSE,soil
Formaldehyde oxidation / fixation,Bacillota,4,14558,0.3,1.31,0.5521342771427625,0.645933150479757,FALSE,soil
Iron uptake / siderophore / Fe homeostasis,Patescibacteriota,3,2411,1.2,1.31,0.5016854003834875,0.5961202992792028,FALSE,soil
Pentose phosphate pathway,Chloroflexota,20,4951,4,1.31,0.24307259515185614,0.33673423186429075,FALSE,soil
Phosphatase / phosphate liberation,Acidobacteriota,39,22995,1.7,1.31,0.1264187025593406,0.20160456250252737,FALSE,soil
Starch,Myxococcota,4,1466,2.7,1.31,0.555731728628997,0.648889070422297,FALSE,soil
Photosynthesis,Pseudomonadota,12,75389,0.2,1.3,0.5598795623100798,0.6524750283844393,FALSE,soil
Polysaccharide / complex carbon degradation,Bacteroidota,146,15021,9.7,1.29,0.004975635026012958,0.012722509813349589,FALSE,soil
Cobalamin (B12) metabolism,Planctomycetota,9,3184,2.8,1.28,0.4441641213006909,0.5470801981874364,FALSE,soil
Riboflavin / FAD metabolism,Bacillota,13,14558,0.9,1.28,0.4180032741801621,0.5228832281049322,FALSE,soil
Glycine / serine / threonine metabolism,Planctomycetota,5,3184,1.6,1.27,0.6048754957386817,0.6977011181444305,FALSE,soil
Lipid degradation,Actinomycetota,13,58870,0.2,1.27,0.4798636312639602,0.5769788899721426,FALSE,soil
Starch,Bacteroidota,39,15021,2.6,1.27,0.16399321673233982,0.24965433894746158,FALSE,soil
Cysteine / methionine metabolism,Bacteroidota,25,15021,1.7,1.25,0.2999247569647494,0.3946993672264926,FALSE,soil
CAZy: polysaccharide lyase (PL),Verrucomicrobiota,5,3581,1.4,1.24,0.6093708710293233,0.7007186866105691,FALSE,soil
Arginine / proline metabolism,Bacillota,23,14558,1.6,1.23,0.3410800755881959,0.4415485788836636,FALSE,soil
Fatty acid degradation (β-oxidation),Chloroflexota,3,4951,0.6,1.23,0.7384424380054807,0.8207702776835074,FALSE,soil
Glycan / glycoside metabolism,Pseudomonadota,4,75389,0.1,1.23,0.7483671453790005,0.8265202590659289,FALSE,soil
Branched-chain amino acid metabolism (Val/Leu/Ile),Planctomycetota,3,3184,0.9,1.22,0.7408271332403701,0.8207702776835074,FALSE,soil
Cobalamin (B12) metabolism,Pseudomonadota,190,75389,2.5,1.22,0.03479791328680875,0.0695958265736175,FALSE,soil
Glycolysis / EMP,Chloroflexota,11,4951,2.2,1.22,0.49696689758097595,0.5928384644371485,FALSE,soil
Polyketide / antibiotic biosynthesis,Acidobacteriota,202,22995,8.8,1.22,0.01015253667325092,0.024032957906211162,FALSE,soil
Polyketide / antibiotic biosynthesis,Nitrospirota,6,669,9,1.22,0.6454626835664549,0.7270453275860067,FALSE,soil
ABC-type transport,Pseudomonadota,110,75389,1.5,1.21,0.13113652825423047,0.20694983365120748,FALSE,soil
Glycolysis / EMP,Planctomycetota,7,3184,2.2,1.21,0.5297590032751409,0.6270194452826863,FALSE,soil
Pentose phosphate pathway,Bacillota,54,14558,3.7,1.21,0.18970244066035713,0.28107500987818196,FALSE,soil
Arginine / proline metabolism,Planctomycetota,5,3184,1.6,1.2,0.6162447222790841,0.7059438595484404,FALSE,soil
Bile / wax / mycolic / lipopolysaccharide,Pseudomonadota,45,75389,0.6,1.19,0.37972949729772193,0.4842030648767151,FALSE,soil
Fatty acid biosynthesis,Bacillota,146,14558,10,1.18,0.05626179807752065,0.10109967135464276,FALSE,soil
MFS transport,Acidobacteriota,11,22995,0.5,1.18,0.6055953599735486,0.6977011181444305,FALSE,soil
Phosphatase / phosphate liberation,Pseudomonadota,112,75389,1.5,1.18,0.19443093736482794,0.28598336903661586,FALSE,soil
Sugar interconversion,Chloroflexota,51,4951,10.3,1.18,0.2466597333829332,0.3397177237046762,FALSE,soil
Sugar interconversion,Halobacteriota,9,873,10.3,1.18,0.5823898060058875,0.6761077058229269,FALSE,soil
CAZy: polysaccharide lyase (PL),Pseudomonadota,94,75389,1.2,1.17,0.25310028858582184,0.3462274828058872,FALSE,soil
D-amino acid metabolism,Bacillota,4,14558,0.3,1.17,0.7767555062847177,0.8542900849519762,FALSE,soil
Halogenated aromatic / chlorinated degradation,Pseudomonadota,29,75389,0.4,1.17,0.5458001447107942,0.6416136444033794,FALSE,soil
Pentose phosphate pathway,Bacteroidota,54,15021,3.6,1.17,0.28709238429963835,0.3823691975507271,FALSE,soil
Alkaloid biosynthesis,Pseudomonadota,17,75389,0.2,1.16,0.6374506138842606,0.7233727906738253,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Planctomycetota,13,3184,4.1,1.16,0.5463244892939666,0.6416136444033794,FALSE,soil
Cysteine / methionine metabolism,Planctomycetota,5,3184,1.6,1.16,0.6271093549487016,0.7170344699979493,FALSE,soil
Polysaccharide / complex carbon degradation,Chloroflexota,44,4951,8.9,1.16,0.32400303514699286,0.4240730870390446,FALSE,soil
Sphingolipid / ceramide metabolism,Actinomycetota,7,58870,0.1,1.16,0.8153064198766775,0.8822780186522616,FALSE,soil
Sugar interconversion,Bacteroidota,151,15021,10.1,1.16,0.0845833123672464,0.14277851614081147,FALSE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Pseudomonadota,122,75389,1.6,1.15,0.2395986063307942,0.33532737976088056,FALSE,soil
Pantothenate / CoA metabolism,Bacillota,8,14558,0.5,1.15,0.6941848470181102,0.7747256303738026,FALSE,soil
Aminotransferase / transamination,Bacteroidota,101,15021,6.7,1.14,0.20529926790284547,0.2997864008412635,FALSE,soil
Cobalamin (B12) metabolism,Patescibacteriota,6,2411,2.5,1.12,0.6638707774700343,0.7436334401974876,FALSE,soil
Benzoate / aromatic carboxylic acid degradation,Actinomycetota,56,58870,1,1.11,0.5159142423937966,0.6118278491010581,FALSE,soil
Pentose phosphate pathway,Actinomycetota,197,58870,3.3,1.11,0.24127874595210116,0.3356965401611072,FALSE,soil
Thiol cofactor metabolism,Pseudomonadota,6,75389,0.1,1.11,0.7998039953008532,0.8764579044345697,FALSE,soil
Glycerolipid / glycerophospholipid metabolism,Pseudomonadota,84,75389,1.1,1.1,0.4852933520910127,0.5812011291840982,FALSE,soil
Aminotransferase / transamination,Chloroflexota,32,4951,6.5,1.09,0.6392316832334142,0.7233727906738253,FALSE,soil
Polysaccharide / complex carbon degradation,Desulfobacterota_B,6,712,8.4,1.09,0.8276802492158717,0.8860687055640571,FALSE,soil
Glyoxylate / dicarboxylate metabolism,Pseudomonadota,32,75389,0.4,1.08,0.7372486996677036,0.8207702776835074,FALSE,soil
Pyruvate metabolism,Verrucomicrobiota,5,3581,1.4,1.08,0.8120549305051218,0.8822780186522616,FALSE,soil
Benzoate / aromatic carboxylic acid degradation,Planctomycetota,3,3184,0.9,1.07,0.7619101200977161,0.839486423234938,FALSE,soil
Gluconeogenesis,Verrucomicrobiota,5,3581,1.4,1.06,0.8143725439764513,0.8822780186522616,FALSE,soil
Methanotrophy / methane oxidation,Verrucomicrobiota,4,3581,1.1,1.06,0.7929032586499108,0.8704698817787064,FALSE,soil
Pentose phosphate pathway,Desulfobacterota,5,1513,3.3,1.06,0.8147498779223861,0.8822780186522616,FALSE,soil
Lipid metabolism (other),Thermoproteota,6,1608,3.7,1.04,0.8327555045928902,0.8884680207452315,FALSE,soil
TCA cycle,Bacillota,6,14558,0.4,1.04,0.8290444819386474,0.8860687055640571,FALSE,soil
Arginine / proline metabolism,Bacteroidota,20,15021,1.3,1.02,0.9066876728554116,0.9440768552412019,FALSE,soil
Heme / porphyrin / chlorophyll metabolism,Bacillota,13,14558,0.9,1.02,0.8850631315924394,0.9275798353039553,FALSE,soil
Methanotrophy / methane oxidation,Bacteroidota,16,15021,1.1,1.01,0.8963040650869875,0.9348713656501108,FALSE,soil
Substrate transport (other),Bacteroidota,31,15021,2.1,1.01,0.9254780445989141,0.961989185294926,FALSE,soil
Substrate transport (other),Patescibacteriota,5,2411,2.1,1.01,0.8217168898883914,0.8844767944446984,FALSE,soil
Sugar interconversion,Bacillota,129,14558,8.9,1.01,0.8901694810419498,0.9300736301921062,FALSE,soil
Thiamine metabolism,Actinomycetota,13,58870,0.2,1.01,1,1,FALSE,soil
Polysaccharide / complex carbon degradation,Bacillota,112,14558,7.7,1,1,1,FALSE,soil
MFS transport,Bacillota,6,14558,0.4,0.99,1,1,FALSE,soil
Organosulfur metabolism,Bacillota,6,14558,0.4,0.99,1,1,FALSE,soil
Starch,Gemmatimonadota,3,1450,2.1,0.99,1,1,FALSE,soil
Ammonia assimilation (GS-GOGAT),Planctomycetota,3,3184,0.9,0.98,0.9999999999999999,1,FALSE,soil
Phosphatase / phosphate liberation,Actinomycetota,77,58870,1.3,0.97,0.8429242255248426,0.8914695997697287,FALSE,soil
ABC-type transport,Patescibacteriota,3,2411,1.2,0.96,0.9999999999999999,1,FALSE,soil
Glycine / serine / threonine metabolism,Pseudomonadota,91,75389,1.2,0.96,0.7487782545003218,0.8265202590659289,FALSE,soil
Polyketide / antibiotic biosynthesis,Chloroflexota,35,4951,7.1,0.96,0.8666629524609792,0.9118016479016552,FALSE,soil
Pyruvate metabolism,Patescibacteriota,3,2411,1.2,0.96,0.9999999999999999,1,FALSE,soil
Fermentation,Patescibacteriota,3,2411,1.2,0.95,1,1,FALSE,soil
PAH / polycyclic aromatic degradation,Actinomycetota,38,58870,0.6,0.95,0.8519108628600525,0.8994041513818672,FALSE,soil
Polyketide / antibiotic biosynthesis,Actinomycetota,420,58870,7.1,0.95,0.42880412837612764,0.5329359830139394,FALSE,soil
Polyketide / antibiotic biosynthesis,Cyanobacteriota,5,716,7,0.95,1,1,FALSE,soil
Thiamine metabolism,Pseudomonadota,16,75389,0.2,0.95,0.9999999999999999,1,FALSE,soil
Branched-chain amino acid metabolism (Val/Leu/Ile),Bacteroidota,11,15021,0.7,0.94,1,1,FALSE,soil
Ammonia assimilation (GS-GOGAT),Actinomycetota,53,58870,0.9,0.92,0.6394083096233634,0.7233727906738253,FALSE,soil
Lipid metabolism (other),Thermoplasmatota,3,910,3.3,0.92,1,1,FALSE,soil
Polyketide / antibiotic biosynthesis,Myxococcota,10,1466,6.8,0.92,0.9999999999999999,1,FALSE,soil
Histidine metabolism,Acidobacteriota,8,22995,0.3,0.91,1,1,FALSE,soil
Glycolysis,Pseudomonadota,41,75389,0.5,0.9,0.639814877559687,0.7233727906738253,FALSE,soil
Heme / porphyrin / chlorophyll metabolism,Bacteroidota,12,15021,0.8,0.9,0.8862520208597197,0.9275798353039553,FALSE,soil
Carbohydrate metabolism (other),Bacteroidota,7,15021,0.5,0.89,0.9999999999999999,1,FALSE,soil
Fatty acid biosynthesis,Thermoplasmatota,7,910,7.7,0.89,1,1,FALSE,soil
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Bacteroidota,20,15021,1.3,0.89,0.7408603001532649,0.8207702776835074,FALSE,soil
Pantothenate / CoA metabolism,Acidobacteriota,10,22995,0.4,0.89,0.8738591480449076,0.9177792785358995,FALSE,soil
Polyketide / antibiotic biosynthesis,Planctomycetota,21,3184,6.6,0.89,0.6768693075982369,0.7567948346947077,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Thermoproteota,5,1608,3.1,0.88,1,1,FALSE,soil
Iron uptake / siderophore / Fe homeostasis,Verrucomicrobiota,3,3581,0.8,0.88,1,1,FALSE,soil
Nitroaromatic / nitrotoluene degradation,Actinomycetota,3,58870,0.1,0.88,1,1,FALSE,soil
Pentose phosphate pathway,Myxococcota,4,1466,2.7,0.87,1,1,FALSE,soil
Biotin metabolism,Bacteroidota,8,15021,0.5,0.85,0.8642417070905434,0.9108356078206422,FALSE,soil
Heme / porphyrin / chlorophyll metabolism,Actinomycetota,46,58870,0.8,0.85,0.370182762866012,0.4762861025409835,FALSE,soil
Fatty acid biosynthesis,Desulfobacterota_B,5,712,7,0.82,0.8386070178566428,0.8896387493945515,FALSE,soil
Polyketide / antibiotic biosynthesis,Pseudomonadota,486,75389,6.4,0.82,1.9409863632382357e-4,7.260726766187475e-4,FALSE,soil
Folate / one-carbon pool metabolism,Halobacteriota,3,873,3.4,0.81,1,1,FALSE,soil
Glycine / serine / threonine metabolism,Chloroflexota,5,4951,1,0.81,0.8377739921912963,0.8896387493945515,FALSE,soil
Polysaccharide / complex carbon degradation,Planctomycetota,20,3184,6.3,0.81,0.4136561211039483,0.5189971208881835,FALSE,soil
Pentose phosphate pathway,Verrucomicrobiota,9,3581,2.5,0.8,0.6491018200451372,0.7297879460989855,FALSE,soil
Sugar interconversion,Desulfobacterota_B,5,712,7,0.8,0.839241846470082,0.8896387493945515,FALSE,soil
Folate / one-carbon pool metabolism,Pseudomonadota,272,75389,3.6,0.79,8.325176205307855e-4,0.002641390984511288,FALSE,soil
Glycolysis / EMP,Pseudomonadota,117,75389,1.6,0.79,0.029839649464878146,0.06171613507070361,FALSE,soil
Alkaloid biosynthesis,Actinomycetota,10,58870,0.2,0.78,0.6124168989637495,0.7028875772197579,FALSE,soil
Pyruvate metabolism,Chloroflexota,5,4951,1,0.78,0.8397250241809958,0.8896387493945515,FALSE,soil
Sugar interconversion,Planctomycetota,22,3184,6.9,0.78,0.2919169976145838,0.38670360654843683,FALSE,soil
Polysaccharide / complex carbon degradation,Nitrospirota,4,669,6,0.77,0.8240645818802007,0.8854310932968115,FALSE,soil
Glycolysis,Actinomycetota,28,58870,0.5,0.76,0.22944172340096616,0.3256245535854461,FALSE,soil
Methanotrophy / methane oxidation,Pseudomonadota,66,75389,0.9,0.76,0.06963879766850961,0.12126756145723226,FALSE,soil
Oxidative phosphorylation / ETC,Bacteroidota,4,15021,0.3,0.76,0.818861517788051,0.8829716722056209,FALSE,soil
Aliphatic hydrocarbon degradation,Actinomycetota,11,58870,0.2,0.75,0.43259402401249497,0.5360981156473864,FALSE,soil
Aminotransferase / transamination,Nitrospirota,3,669,4.5,0.75,1,1,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Desulfobacterota,4,1513,2.6,0.75,0.8257052246945397,0.8856236569290108,FALSE,soil
Lipid metabolism (other),Bacteroidota,41,15021,2.7,0.75,0.07613589114799188,0.13106288385806897,FALSE,soil
Gluconeogenesis,Pseudomonadota,81,75389,1.1,0.74,0.02468244829356053,0.052482679529465545,FALSE,soil
Fatty acid degradation (β-oxidation),Actinomycetota,23,58870,0.4,0.73,0.23038706501915823,0.3262022462654437,FALSE,soil
Oxygenase / monooxygenase / dioxygenase,Acidobacteriota,4,22995,0.2,0.73,0.8175111783615947,0.8829716722056209,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Acidobacteriota,60,22995,2.6,0.72,0.011337074527633245,0.02642410447594518,FALSE,soil
Pyruvate metabolism,Planctomycetota,3,3184,0.9,0.72,0.8034528704090917,0.8772581624798046,FALSE,soil
Aromatic amino acid metabolism (Phe / Tyr / Trp),Verrucomicrobiota,9,3581,2.5,0.71,0.39184012025326154,0.49676801856375835,FALSE,soil
Fermentation,Planctomycetota,3,3184,0.9,0.71,0.8039045982055161,0.8772581624798046,FALSE,soil
Polyketide / antibiotic biosynthesis,Desulfobacterota,8,1513,5.3,0.71,0.44868269104535347,0.5492963854009781,FALSE,soil
Branched-chain amino acid metabolism (Val/Leu/Ile),Acidobacteriota,13,22995,0.6,0.7,0.25978976989554137,0.3514120548140582,FALSE,soil
Glycine / serine / threonine metabolism,Bacillota,13,14558,0.9,0.7,0.2711990479490694,0.3644049291732507,FALSE,soil
Histidine metabolism,Actinomycetota,17,58870,0.3,0.7,0.21436985906122435,0.30955933542534136,FALSE,soil
Phosphatase / phosphate liberation,Planctomycetota,3,3184,0.9,0.7,0.8048771259715698,0.8772581624798046,FALSE,soil
CAZy: polysaccharide lyase (PL),Bacteroidota,12,15021,0.8,0.69,0.25609072184975634,0.3471833947224885,FALSE,soil
Cysteine / methionine metabolism,Pseudomonadota,79,75389,1,0.69,0.00386518498908534,0.01031851146865954,FALSE,soil
Fatty acid biosynthesis,Desulfobacterota,9,1513,5.9,0.69,0.326503331209248,0.4255075671243103,FALSE,soil
Histidine metabolism,Bacteroidota,4,15021,0.3,0.69,0.6613653170289252,0.7421988557769049,FALSE,soil
Photosynthesis,Actinomycetota,6,58870,0.1,0.69,0.5340600169245335,0.630877914729566,FALSE,soil
