function,group,genomes_with_F,group_size,prevalence_per_1000,odds_ratio,p,fdr_q,enriched,biome
Sulfur metabolism (other),Bacillota,18,106914,0.2,0.43,0.002215465295722171,0.004182001906531738,FALSE,gut
CAZy: carbohydrate esterase (CE),Bacillota,38,106914,0.4,0.42,2.502005574568529e-6,7.27235948860466e-6,FALSE,gut
Glycerolipid / glycerophospholipid metabolism,Bacillota,46,106914,0.4,0.4,4.292571278521188e-8,1.456872676346585e-7,FALSE,gut
MFS transport,Bacillota,63,106914,0.6,0.4,3.200101159833428e-11,1.3274493700049775e-10,FALSE,gut
Polysaccharide / complex carbon degradation,Fusobacteriota,9,4713,1.9,0.4,0.0024100406531001044,0.004523875192411369,FALSE,gut
Glyoxylate / dicarboxylate metabolism,Pseudomonadota,11,25865,0.4,0.39,5.837378915601192e-4,0.0011767143391435183,FALSE,gut
Lipid metabolism (other),Pseudomonadota,4,25865,0.2,0.39,0.05726312737156106,0.08643348024509366,FALSE,gut
Arginine / proline metabolism,Bacteroidota,39,67194,0.6,0.38,6.358550300879052e-10,2.4278101148810927e-9,FALSE,gut
Iron uptake / siderophore / Fe homeostasis,Bacillota,97,106914,0.9,0.38,1.2757862087574448e-17,7.390761485215542e-17,FALSE,gut
Thiamine metabolism,Fusobacteriota,5,4713,1.1,0.38,0.017003418773689008,0.02800563092137013,FALSE,gut
Fatty acid biosynthesis,Actinomycetota,14,10619,1.3,0.37,2.6477884624701184e-5,6.590051284370072e-5,FALSE,gut
Fatty acid biosynthesis,Bacillota,194,106914,1.8,0.37,9.48593833767312e-38,1.2219833745979775e-36,FALSE,gut
Substrate transport (other),Fusobacteriota,17,4713,3.6,0.37,1.7185120772919543e-6,5.109912017434484e-6,FALSE,gut
Bile / wax / mycolic / lipopolysaccharide,Bacteroidota,6,67194,0.1,0.36,0.013768052240509943,0.02324656056689116,FALSE,gut
"Other amino-acid-related metabolism (β-Ala, taurine, glutathione, Se)",Fusobacteriota,17,4713,3.6,0.36,7.558283351937086e-7,2.267485005581126e-6,FALSE,gut
Pyridoxal (B6) metabolism,Pseudomonadota,3,25865,0.1,0.36,0.08221497898465414,0.12010536060366866,FALSE,gut
Glycolysis / EMP,Pseudomonadota,57,25865,2.2,0.35,2.7810110020568803e-19,1.6989449030747487e-18,FALSE,gut
MFS transport,Actinomycetota,4,10619,0.4,0.35,0.02095162298302511,0.03417352098202153,FALSE,gut
Pentose phosphate pathway,Pseudomonadota,37,25865,1.4,0.35,1.5475907013191132e-13,7.026898319503e-13,FALSE,gut
Methanotrophy / methane oxidation,Pseudomonadota,13,25865,0.5,0.34,9.692961980507552e-6,2.5847898614686804e-5,FALSE,gut
Methanotrophy / methane oxidation,Actinomycetota,5,10619,0.5,0.33,0.0065935819858269264,0.011599180875590824,FALSE,gut
