level,category,soil,gut,tot,soil_rate,gut_rate,odds_ratio_soil_gut,log2_OR,p,fdr_q,one_biome_only,enrichment,or_cmh_genecount,log2_OR_cmh_genecount,p_cmh_genecount,fdr_q_cmh_genecount,enrichment_cmh_genecount,degenerate_estimate_genecount,n_strata_genecount,L1_group,n_L1_parents
L2,Polyketide / antibiotic biosynthesis,4892,495,5387,6.371567077284556,2.0795348563650573,3.0771734310071226,1.6216057569645534,2.9800681669448636e-168,3.2449631151177404e-167,FALSE,soil-enriched,4.440108695030292,2.1505949945622587,3.9234375061292865e-260,9.612421890016752e-259,soil-enriched,FALSE,5,Secondary metabolite metabolism,1
L2,Polyphosphate metabolism,84,1,85,0.10940548538264569,0.004201080517909206,26.04496536416474,4.702932613412684,4.385744681975028e-9,8.109490166670806e-9,FALSE,soil-enriched,42.672977345627984,5.415250867529066,6.09138859933006e-10,1.147992466796819e-9,soil-enriched,FALSE,4,Phosphorus metabolism,1
L2,Polysaccharide / complex carbon degradation,5636,1066,6702,7.340587090673703,4.478351832091214,1.6438531905704201,0.7170814603982372,2.8593727763574095e-55,1.474834379384348e-54,FALSE,soil-enriched,2.323947561217752,1.2165775153755605,2.8403914015346633e-147,2.7835835735039704e-146,soil-enriched,FALSE,5,Carbohydrate metabolism,1
L2,Polysaccharide metabolism,6,48,54,0.007814677527331835,0.2016518648596419,0.03874579957800412,-4.689816273102658,4.800971174706912e-24,1.3442719289179354e-23,FALSE,gut-enriched,0.05060408969215789,-4.304602205247038,2.150580773051222e-21,6.198732816441758e-21,gut-enriched,FALSE,5,Carbohydrate metabolism,1
L2,Pyridoxal (B6) metabolism,32,66,98,0.04167828014576978,0.2772713141820076,0.15028045994214845,-2.7342706583356233,6.668841999421875e-20,1.6338662898583594e-19,FALSE,gut-enriched,0.21758068243516204,-2.200377620064395,2.0709054921636152e-14,4.949969225171568e-14,gut-enriched,FALSE,4,Cofactor & vitamin metabolism,1
L2,Pyruvate metabolism,725,494,1219,0.9442735345525967,2.075333775847148,0.45448327676825395,-1.1377008851046877,7.522053120014905e-39,2.8352354067748486e-38,FALSE,gut-enriched,0.6564535385580844,-0.6072351889692756,2.0367238221187728e-13,4.641835687619529e-13,gut-enriched,FALSE,5,Carbohydrate metabolism,1
L2,Reactive oxygen species detoxification,146,280,426,0.19015715316507464,1.1763025450145776,0.1614972234008501,-2.6304187338087774,1.6087473707149112e-75,1.0510482822004087e-74,FALSE,gut-enriched,0.24525152516989257,-2.0276659865847497,5.707886269462148e-52,3.107626968929392e-51,gut-enriched,FALSE,5,Oxygen metabolism,1
L2,Reductive TCA (rTCA) cycle,1,65,66,0.0013024462545553057,0.2730702336640984,0.0047683420989750236,-7.712296540726535,1.0450732818601364e-39,4.096687264891735e-39,FALSE,gut-enriched,0.0076444270867950005,-7.03137590210956,4.252508323925191e-32,1.6028685220948796e-31,gut-enriched,FALSE,5,Multiple L1 categories,2
L2,Riboflavin / FAD metabolism,205,159,364,0.2670014821838377,0.6679718023475638,0.39955937209224446,-1.32351820009765,5.373602806654515e-17,1.2246815698887033e-16,FALSE,gut-enriched,0.6015486882551752,-0.7332465836513107,1.0996265529912824e-6,1.8905860033885208e-6,gut-enriched,FALSE,5,Cofactor & vitamin metabolism,1
L2,Sphingolipid / ceramide metabolism,51,18,69,0.0664247589823206,0.07561944932236571,0.8784003160812867,-0.1870495214085236,0.6707299984908743,0.6847035401261008,FALSE,not different,1.1863011153899474,0.2464702514873347,0.6306860393174971,0.7023549074217581,not different,FALSE,5,Lipid & fatty acid metabolism,1
L2,Starch,1340,588,1928,1.7452779811041097,2.470235344530613,0.7060098628920363,-0.5022397569347606,7.0847345839144456e-12,1.4772425302630123e-11,FALSE,not different,1.0023288485200235,0.0033559120204271825,0.9826291453302014,0.9853030487940947,not different,FALSE,5,Carbohydrate metabolism,1
