category_L2,gut,soil,tot,soil_rate,gut_rate,p,one_biome_only,odds_ratio_soil_gut,log2_OR,fdr_q,enrichment,n_L1_parents,L1_group,n_strata_genecount,or_cmh_genecount,p_cmh_genecount,degenerate_estimate_genecount,log2_OR_cmh_genecount,fdr_q_cmh_genecount,enrichment_cmh_genecount,neglog10q,sig
Oxidative phosphorylation / ETC,52,111,163,0.14457153425563893,0.21845618693127872,0.016334841199016154,FALSE,0.6617384159462513,-0.5956670600260371,0.01928692093377811,gut-enriched,1,Energy metabolism,5,0.9729500094540438,0.9332863716691668,FALSE,-0.03956241420319127,0.9627585728797722,not different,0.016482605514576785,FALSE
Oxygenase / monooxygenase / dioxygenase,2,72,74,0.09377613032798202,0.008402161035818412,8.268350333686934e-7,FALSE,11.161906647527594,3.48051158047604,1.4469613083952134e-6,soil-enriched,1,Oxygen metabolism,3,16.79737985276941,9.652248269101155e-8,FALSE,4.070164305973606,1.751704315503543e-7,soil-enriched,6.756539200098659,TRUE
PAH / polycyclic aromatic degradation,333,261,594,0.3399384724389348,1.3989598124637657,5.167560922877106e-64,FALSE,0.24273631372162366,-2.042538140880708,2.978946884952685e-63,gut-enriched,1,Aromatic & xenobiotic degradation,5,0.3720880217621613,8.611107829262844e-35,FALSE,-1.426284146838294,3.669080727251125e-34,gut-enriched,33.43544273277553,TRUE
PTS / phosphotransferase transport,103,44,147,0.05730763520043346,0.43271129334464825,1.7625300668895207e-32,FALSE,0.1323887805857515,-2.917147230137518,5.956136088109415e-32,gut-enriched,1,Metabolic substrate transport,4,0.20827388939044386,1.4302291537389238e-22,FALSE,-2.2634461100843293,4.247347183830743e-22,gut-enriched,21.37188223774743,TRUE
Pantothenate / CoA metabolism,81,455,536,0.5926130458226642,0.3402875219506457,1.2446196481184243e-6,FALSE,1.7419465236009424,0.8007003350045517,2.139872377466765e-6,soil-enriched,1,Cofactor & vitamin metabolism,5,2.584332761513744,1.1188897012537233e-16,FALSE,1.369791844984223,2.9635456952125643e-16,soil-enriched,15.528188371942537,TRUE
Pentose phosphate pathway,863,2131,2994,2.7755129684573565,3.625532486955645,7.477750328517676e-11,FALSE,0.7648937561340798,-0.38666872373975875,1.4656390643894644e-10,not different,1,Carbohydrate metabolism,5,1.0916757468268101,0.031321578872824045,FALSE,0.12654440578926382,0.04385021042195366,not different,1.3580283182643242,FALSE
Phosphatase / phosphate liberation,141,619,760,0.8062142315697343,0.5923523530251981,7.358050016357504e-4,FALSE,1.3613295955691154,0.4450164043329734,0.0010301270022900506,not different,1,Phosphorus metabolism,5,2.1240703480283716,3.0200158232494243e-16,FALSE,1.0868315481905557,7.588757709703681e-16,soil-enriched,15.119829312902713,TRUE
Phosphate starvation response,409,1024,1433,1.333704964664633,1.7182419318248654,2.003319382981218e-5,FALSE,0.7759043684090674,-0.3660492462429929,3.1665370892283766e-5,not different,1,Phosphorus metabolism,5,1.151612423401887,0.017292203322556442,FALSE,0.20365525765033177,0.026071321932469714,not different,1.5838369476033674,FALSE
Phosphonate / phosphite metabolism,0,578,578,0.7528139351329667,0,2.2889615157602796e-68,TRUE,358.9714093365754,8.487725133402718,1.4019889284031713e-67,soil-enriched,1,Phosphorus metabolism,5,93.07979031796296,3.525448194532697e-57,TRUE,6.540396055656669,2.0323171944953195e-56,soil-enriched,55.6920085084608,TRUE
Photosynthesis,33,59,92,0.07684432901876304,0.1386356570910038,0.009416063442603548,FALSE,0.554255535358193,-0.8513768215062149,0.011680686295887945,gut-enriched,1,Energy metabolism,5,0.7611645619852799,0.24947873576840532,FALSE,-0.39371970016748675,0.29105852506313956,not different,0.5360196757686981,FALSE
Plant / glucosinolate / mycotoxin secondary metabolites,19,22,41,0.02865381760021673,0.07982052984027492,0.0014396631617357568,FALSE,0.3589596748342898,-1.4781063126335723,0.0019326984910973174,gut-enriched,1,Secondary metabolite metabolism,4,0.47501384049984824,0.02370918581883972,FALSE,-1.0739585449604234,0.034169120738916064,gut-enriched,1.4663661965933932,TRUE
Polyketide / antibiotic biosynthesis,495,4892,5387,6.371567077284556,2.0795348563650573,2.9800681669448636e-168,FALSE,3.0771734310071226,1.6216057569645534,3.2449631151177404e-167,soil-enriched,1,Secondary metabolite metabolism,5,4.440108695030292,3.9234375061292865e-260,FALSE,2.1505949945622587,9.612421890016752e-259,soil-enriched,258.017167176228,TRUE
Polyphosphate metabolism,1,84,85,0.10940548538264569,0.004201080517909206,4.385744681975028e-9,FALSE,26.04496536416474,4.702932613412684,8.109490166670806e-9,soil-enriched,1,Phosphorus metabolism,4,42.672977345627984,6.09138859933006e-10,FALSE,5.415250867529066,1.147992466796819e-9,soil-enriched,8.940060961798068,TRUE
Polysaccharide / complex carbon degradation,1066,5636,6702,7.340587090673703,4.478351832091214,2.8593727763574095e-55,FALSE,1.6438531905704201,0.7170814603982372,1.474834379384348e-54,soil-enriched,1,Carbohydrate metabolism,5,2.323947561217752,2.8403914015346633e-147,FALSE,1.2165775153755605,2.7835835735039704e-146,soil-enriched,145.55539573503003,TRUE
Polysaccharide metabolism,48,6,54,0.007814677527331835,0.2016518648596419,4.800971174706912e-24,FALSE,0.03874579957800412,-4.689816273102658,1.3442719289179354e-23,gut-enriched,1,Carbohydrate metabolism,5,0.05060408969215789,2.150580773051222e-21,FALSE,-4.304602205247038,6.198732816441758e-21,gut-enriched,20.207697082610473,TRUE
Pyridoxal (B6) metabolism,66,32,98,0.04167828014576978,0.2772713141820076,6.668841999421875e-20,FALSE,0.15028045994214845,-2.7342706583356233,1.6338662898583594e-19,gut-enriched,1,Cofactor & vitamin metabolism,4,0.21758068243516204,2.0709054921636152e-14,FALSE,-2.200377620064395,4.949969225171568e-14,gut-enriched,13.305397501143142,TRUE
Pyruvate metabolism,494,725,1219,0.9442735345525967,2.075333775847148,7.522053120014905e-39,FALSE,0.45448327676825395,-1.1377008851046877,2.8352354067748486e-38,gut-enriched,1,Carbohydrate metabolism,5,0.6564535385580844,2.0367238221187728e-13,FALSE,-0.6072351889692756,4.641835687619529e-13,gut-enriched,12.333310236827783,TRUE
Reactive oxygen species detoxification,280,146,426,0.19015715316507464,1.1763025450145776,1.6087473707149112e-75,FALSE,0.1614972234008501,-2.6304187338087774,1.0510482822004087e-74,gut-enriched,1,Oxygen metabolism,5,0.24525152516989257,5.707886269462148e-52,FALSE,-2.0276659865847497,3.107626968929392e-51,gut-enriched,50.507571118268324,TRUE
