id	db	name	category_L1	category_L2	category_L3
K02420	KEGG	fliQ; flagellar biosynthesis protein FliQ	Motility & cell-surface dynamics	Flagellar assembly / function	
K02421	KEGG	fliR; flagellar biosynthesis protein FliR	Motility & cell-surface dynamics	Flagellar assembly / function	
K02423	KEGG	fliT; flagellar protein FliT	Motility & cell-surface dynamics	Flagellar assembly / function	
K02450	KEGG	gspA; general secretion pathway protein A	Secretion & extracellular processes	Secretion system	
K02451	KEGG	gspB; general secretion pathway protein B	Secretion & extracellular processes	Secretion system	
K02452	KEGG	gspC; general secretion pathway protein C	Secretion & extracellular processes	Secretion system	
K02453	KEGG	gspD; general secretion pathway protein D	Secretion & extracellular processes	Secretion system	
K02454	KEGG	gspE; general secretion pathway protein E [EC:7.4.2.8]	Secretion & extracellular processes	Secretion system	
K02455	KEGG	gspF; general secretion pathway protein F	Secretion & extracellular processes	Secretion system	
K02456	KEGG	gspG; general secretion pathway protein G	Secretion & extracellular processes	Secretion system	
K02457	KEGG	gspH; general secretion pathway protein H	Secretion & extracellular processes	Secretion system	
K02458	KEGG	gspI; general secretion pathway protein I	Secretion & extracellular processes	Secretion system	
K02459	KEGG	gspJ; general secretion pathway protein J	Secretion & extracellular processes	Secretion system	
K02460	KEGG	gspK; general secretion pathway protein K	Secretion & extracellular processes	Secretion system	
K02461	KEGG	gspL; general secretion pathway protein L	Secretion & extracellular processes	Secretion system	
K02462	KEGG	gspM; general secretion pathway protein M	Secretion & extracellular processes	Secretion system	
K02463	KEGG	gspN; general secretion pathway protein N	Secretion & extracellular processes	Secretion system	
K02464	KEGG	gspO; general secretion pathway protein O [EC:3.4.23.43 2.1.1.-]	Secretion & extracellular processes	Secretion system	
K02465	KEGG	gspS; general secretion pathway protein S	Secretion & extracellular processes	Secretion system	
K02659	KEGG	pilI; twitching motility protein PilI	Motility & cell-surface dynamics	Motility (other)	
K02660	KEGG	pilJ; twitching motility protein PilJ	Motility & cell-surface dynamics	Motility (other)	
K02669	KEGG	pilT; twitching motility protein PilT	Motility & cell-surface dynamics	Motility (other)	
K02670	KEGG	pilU; twitching motility protein PilU	Motility & cell-surface dynamics	Motility (other)	
K03157	KEGG	LTB, TNFC; lymphotoxin beta (TNF superfamily, member 3)	Toxin-antitoxin systems	Toxin	
K03159	KEGG	TNFRSF3, LTBR; lymphotoxin beta receptor TNFR superfamily member 3	Toxin-antitoxin systems	Toxin	
K03194	KEGG	virB1; type IV secretion system protein VirB1	Secretion & extracellular processes	Secretion system	
K03195	KEGG	virB10, lvhB10; type IV secretion system protein VirB10	Secretion & extracellular processes	Secretion system	
K03196	KEGG	virB11, lvhB11; type IV secretion system protein VirB11 [EC:7.4.2.8]	Secretion & extracellular processes	Secretion system	
K03197	KEGG	virB2, lvhB2; type IV secretion system protein VirB2	Secretion & extracellular processes	Secretion system	
K03198	KEGG	virB3, lvhB3; type IV secretion system protein VirB3	Secretion & extracellular processes	Secretion system	
K03199	KEGG	virB4, lvhB4; type IV secretion system protein VirB4 [EC:7.4.2.8]	Secretion & extracellular processes	Secretion system	
K03200	KEGG	virB5, lvhB5; type IV secretion system protein VirB5	Secretion & extracellular processes	Secretion system	
K03201	KEGG	virB6, lvhB6; type IV secretion system protein VirB6	Secretion & extracellular processes	Secretion system	
K03202	KEGG	virB7, lvhB7; type IV secretion system protein VirB7	Secretion & extracellular processes	Secretion system	
K03203	KEGG	virB8, lvhB8; type IV secretion system protein VirB8	Secretion & extracellular processes	Secretion system	
K03204	KEGG	virB9, lvhB9; type IV secretion system protein VirB9	Secretion & extracellular processes	Secretion system	
K03205	KEGG	virD4, lvhD4; type IV secretion system protein VirD4 [EC:7.4.2.8]	Secretion & extracellular processes	Secretion system	
K03219	KEGG	yscC, sctC, ssaC; type III secretion protein C	Secretion & extracellular processes	Secretion system	
K03220	KEGG	yscD, sctD, ssaD; type III secretion protein D	Secretion & extracellular processes	Secretion system	
K03221	KEGG	yscF, sctF, ssaG, prgI; type III secretion protein F	Secretion & extracellular processes	Secretion system	
K03222	KEGG	yscJ, sctJ, hrcJ, ssaJ; type III secretion protein J	Secretion & extracellular processes	Secretion system	
K03223	KEGG	yscL, sctL; type III secretion protein L	Secretion & extracellular processes	Secretion system	
K03224	KEGG	yscN, sctN, hrcN, ssaN; ATP synthase in type III secretion protein N [EC:7.4.2.8]	Secretion & extracellular processes	Secretion system	
K03225	KEGG	yscQ, sctQ, hrcQ, ssaQ, spaO; type III secretion protein Q	Secretion & extracellular processes	Secretion system	
K03226	KEGG	yscR, sctR, hrcR, ssaR; type III secretion protein R	Secretion & extracellular processes	Secretion system	
K03227	KEGG	yscS, sctS, hrcS, ssaS; type III secretion protein S	Secretion & extracellular processes	Secretion system	
K03228	KEGG	yscT, sctT, hrcT, ssaT; type III secretion protein T	Secretion & extracellular processes	Secretion system	
K03229	KEGG	yscU, sctU, hrcU, ssaU; type III secretion protein U	Secretion & extracellular processes	Secretion system	
K03230	KEGG	yscV, sctV, hrcV, ssaV, invA; type III secretion protein V	Secretion & extracellular processes	Secretion system	
K03283	KEGG	HSPA1_6_8; heat shock 70kDa protein 1/6/8	Stress response & homeostasis	Heat-shock response	
K03327	KEGG	SLC47A, MATE, DTX; MATE family, multidrug and toxin extrusion protein	Toxin-antitoxin systems	Toxin	
K03516	KEGG	flhE; flagellar protein FlhE	Motility & cell-surface dynamics	Flagellar assembly / function	
K03599	KEGG	sspA, mglA; stringent starvation protein A	Stress response & homeostasis	Stringent response	
K03600	KEGG	sspB; stringent starvation protein B	Stress response & homeostasis	Stringent response	
K03668	KEGG	hslJ; heat shock protein HslJ	Stress response & homeostasis	Heat-shock response	
K03704	KEGG	cspA; cold shock protein	Stress response & homeostasis	Cold-shock response	
K03799	KEGG	htpX; heat shock protein HtpX [EC:3.4.24.-]	Stress response & homeostasis	Heat-shock response	
K03810	KEGG	mviM; virulence factor	Virulence & host interaction	Virulence factor	
K03919	KEGG	alkB; DNA oxidative demethylase [EC:1.14.11.33]	Stress response & homeostasis	Oxidative-stress response	
K04009	KEGG	C3AR1; C3a anaphylatoxin chemotactic receptor	Toxin-antitoxin systems	Toxin	
K04010	KEGG	C5AR1, CD88; C5a anaphylatoxin chemotactic receptor 1	Toxin-antitoxin systems	Toxin	
K04048	KEGG	yscA, sctA; type III secretion protein A	Secretion & extracellular processes	Secretion system	
K04049	KEGG	yscB, sctB; type III secretion protein B	Secretion & extracellular processes	Secretion system	
K04050	KEGG	yscE, sctE; type III secretion protein E	Secretion & extracellular processes	Secretion system	
K04051	KEGG	yscG, sctG; type III secretion protein G	Secretion & extracellular processes	Secretion system	
K04052	KEGG	yscH, sctH; type III secretion protein H	Secretion & extracellular processes	Secretion system	
K04053	KEGG	yscI, sctI; type III secretion protein I	Secretion & extracellular processes	Secretion system	
K04054	KEGG	yscK, sctK; type III secretion protein K	Secretion & extracellular processes	Secretion system	
K04055	KEGG	yscM, sctM; type III secretion protein M	Secretion & extracellular processes	Secretion system	
K04056	KEGG	yscO, sctO; type III secretion protein O	Secretion & extracellular processes	Secretion system	
K04057	KEGG	yscP, sctP; type III secretion protein P	Secretion & extracellular processes	Secretion system	
K04058	KEGG	yscW, sctW; type III secretion protein W	Secretion & extracellular processes	Secretion system	
K04059	KEGG	yscX, sctX; type III secretion protein X	Secretion & extracellular processes	Secretion system	
K04060	KEGG	yscY, sctY; type III secretion protein Y	Secretion & extracellular processes	Secretion system	
K04061	KEGG	flhB2; flagellar biosynthesis protein	Motility & cell-surface dynamics	Flagellar assembly / function	
K04171	KEGG	C5AR2, GPR77; C5a anaphylatoxin chemotactic receptor 2	Toxin-antitoxin systems	Toxin	
K04392	KEGG	RAC1; Ras-related C3 botulinum toxin substrate 1	Toxin-antitoxin systems	Toxin	
K04455	KEGG	HSPB1; heat shock protein beta-1	Stress response & homeostasis	Heat-shock response	
