id	db	name	filter_essential	filter_glucan	filter_lipid	filter_methyl	filter_nucleotide
K04142	KEGG	ADRB2; adrenergic receptor beta-2	True	False	False	False	False
K04143	KEGG	ADRB3; adrenergic receptor beta-3	True	False	False	False	False
K04144	KEGG	DRD1; dopamine receptor D1	True	False	False	False	False
K04145	KEGG	DRD2; dopamine receptor D2	True	False	False	False	False
K04146	KEGG	DRD3; dopamine receptor D3	True	False	False	False	False
K04147	KEGG	DRD4; dopamine receptor D4	True	False	False	False	False
K04148	KEGG	DRD1N; dopamine receptor D1-like	True	False	False	False	False
K04149	KEGG	HRH1; histamine receptor H1	True	False	False	False	False
K04150	KEGG	HRH2; histamine receptor H2	True	False	False	False	False
K04151	KEGG	HRH3; histamine receptor H3	True	False	False	False	False
K04152	KEGG	HRH4; histamine receptor H4	True	False	False	False	False
K04153	KEGG	HTR1; 5-hydroxytryptamine receptor 1	True	False	False	False	False
K04157	KEGG	HTR2; 5-hydroxytryptamine receptor 2	True	False	False	False	False
K04160	KEGG	HTR4; 5-hydroxytryptamine receptor 4	True	False	False	False	False
K04161	KEGG	HTR5; 5-hydroxytryptamine receptor 5	True	False	False	False	False
K04162	KEGG	HTR6; 5-hydroxytryptamine receptor 6	True	False	False	False	False
K04163	KEGG	HTR7; 5-hydroxytryptamine receptor 7	True	False	False	False	False
K04165	KEGG	Oamb; octopamine receptor	True	False	False	False	False
K04166	KEGG	AGTR1; angiotensin II receptor type 1	True	False	False	False	False
K04167	KEGG	AGTR2; angiotensin II receptor type 2	True	False	False	False	False
K04168	KEGG	NMBR; neuromedin B receptor	True	False	False	False	False
K04169	KEGG	GRPR; gastrin-releasing peptide receptor	True	False	False	False	False
K04170	KEGG	BRS3; bombesin receptor subtype-3	True	False	False	False	False
K04171	KEGG	C5AR2, GPR77; C5a anaphylatoxin chemotactic receptor 2	True	False	False	False	False
K04172	KEGG	FPR1; formyl peptide receptor 1	True	False	False	False	False
K04173	KEGG	FPRL; formyl peptide receptor-like	True	False	False	False	False
K04174	KEGG	APLNR; apelin receptor	True	False	False	False	False
K04175	KEGG	CXCR1, IL8RA, CD181; C-X-C chemokine receptor type 1	True	False	False	False	False
K04176	KEGG	CCR1, CD191; C-C chemokine receptor type 1	True	False	False	False	False
K04177	KEGG	CCR2, CD192; C-C chemokine receptor type 2	True	False	False	False	False
K04178	KEGG	CCR3, CD193; C-C chemokine receptor type 3	True	False	False	False	False
K04179	KEGG	CCR4, CD194; C-C chemokine receptor type 4	True	False	False	False	False
K04180	KEGG	CCR5, CD195; C-C chemokine receptor type 5	True	False	False	False	False
K04181	KEGG	CCR6, CD196; C-C chemokine receptor type 6	True	False	False	False	False
K04182	KEGG	CCR7, CD197; C-C chemokine receptor type 7	True	False	False	False	False
K04183	KEGG	CCR8, CDw198; C-C chemokine receptor type 8	True	False	False	False	False
K04184	KEGG	CCR9, CDw199; C-C chemokine receptor type 9	True	False	False	False	False
K04185	KEGG	CCR10; C-C chemokine receptor type 10	True	False	False	False	False
K04186	KEGG	ACKR4, CCRL1, CCR11; atypical chemokine receptor 4	True	False	False	False	False
K04187	KEGG	ACKR2, CCBP2; atypical chemokine receptor 2	True	False	False	False	False
K04188	KEGG	CXCR3, GPR9, CD183; C-X-C chemokine receptor type 3	True	False	False	False	False
K04189	KEGG	CXCR4, CD184; C-X-C chemokine receptor type 4	True	False	False	False	False
K04190	KEGG	CXCR5, BLR1, CD185; C-X-C chemokine receptor type 5	True	False	False	False	False
K04191	KEGG	CXCR6, CD186; C-X-C chemokine receptor type 6	True	False	False	False	False
K04192	KEGG	CX3CR1; CX3C chemokine receptor 1	True	False	False	False	False
K04193	KEGG	XCR1; XC chemokine receptor 1	True	False	False	False	False
K04194	KEGG	CCKAR; cholecystokinin A receptor	True	False	False	False	False
K04195	KEGG	CCKBR; cholecystokinin B receptor	True	False	False	False	False
K04196	KEGG	CCKLR; cholecystokinin-like receptor	True	False	False	False	False
K04197	KEGG	EDNRA; endothelin receptor type A	True	False	False	False	False
K04198	KEGG	EDNRB; endothelin receptor type B	True	False	False	False	False
K04199	KEGG	MC1R; melanocortin 1 receptor	True	False	False	False	False
K04200	KEGG	MC2R; melanocortin 2 receptor	True	False	False	False	False
K04201	KEGG	MC3R; melanocortin 3 receptor	True	False	False	False	False
K04202	KEGG	MC4R; melanocortin 4 receptor	True	False	False	False	False
K04203	KEGG	MC5R; melanocortin 5 receptor	True	False	False	False	False
K04204	KEGG	NPY1R; neuropeptide Y receptor type 1	True	False	False	False	False
K04205	KEGG	NPY2R; neuropeptide Y receptor type 2	True	False	False	False	False
K04206	KEGG	NPY4R; neuropeptide Y receptor type 4	True	False	False	False	False
K04207	KEGG	NPY5R; neuropeptide Y receptor type 5	True	False	False	False	False
K04208	KEGG	NPY6R; neuropeptide Y receptor type 6	True	False	False	False	False
K04209	KEGG	NPFR; neuropeptide F receptor	True	False	False	False	False
K04210	KEGG	GPR83, GPR72; G protein-coupled receptor 83	True	False	False	False	False
K04211	KEGG	NTSR1; neurotensin receptor 1	True	False	False	False	False
K04212	KEGG	NTSR2; neurotensin receptor 2	True	False	False	False	False
K04213	KEGG	OPRD1; delta-type opioid receptor	True	False	False	False	False
K04214	KEGG	OPRK1; kappa-type opioid receptor	True	False	False	False	False
K04215	KEGG	OPRM1; mu-type opioid receptor	True	False	False	False	False
K04216	KEGG	OPRL1; nociceptin receptor	True	False	False	False	False
K04217	KEGG	SSTR1; somatostatin receptor 1	True	False	False	False	False
K04218	KEGG	SSTR2; somatostatin receptor 2	True	False	False	False	False
K04219	KEGG	SSTR3; somatostatin receptor 3	True	False	False	False	False
K04220	KEGG	SSTR4; somatostatin receptor 4	True	False	False	False	False
K04221	KEGG	SSTR5; somatostatin receptor 5	True	False	False	False	False
K04222	KEGG	TACR1; tachykinin receptor 1	True	False	False	False	False
K04223	KEGG	TACR2; tachykinin receptor 2	True	False	False	False	False
K04224	KEGG	TACR3; tachykinin receptor 3	True	False	False	False	False
K04226	KEGG	AVPR1A; arginine vasopressin receptor 1A	True	False	False	False	False
K04227	KEGG	AVPR1B; arginine vasopressin receptor 1B	True	False	False	False	False
K04228	KEGG	AVPR2; arginine vasopressin receptor 2	True	False	False	False	False
K04229	KEGG	OXTR; oxytocin receptor	True	False	False	False	False
K04230	KEGG	GALR1; galanin receptor 1	True	False	False	False	False
K04231	KEGG	GALR2; galanin receptor 2	True	False	False	False	False
