category_L1	category_L2	category_L3
Sulfur metabolism	Sulfur amino acid metabolism	SAM cycle / transmethylation
Sulfur metabolism	Sulfur amino acid metabolism	
Sulfur metabolism	Sulfur metabolism (other)	
Sulfur metabolism	Tetrathionate metabolism	
Sulfur metabolism	Thiosulfate disproportionation	
Sulfur metabolism	Thiosulfate oxidation	
Sulfur metabolism	acetyl-CoA metabolic process	
Sulfur metabolism	biotin biosynthetic process	
Sulfur metabolism	coenzyme A biosynthetic process	
Sulfur metabolism	coenzyme A metabolic process	
Sulfur metabolism	glutathione biosynthetic process	
Sulfur metabolism	glutathione catabolic process	
Sulfur metabolism	thiamine biosynthetic process	
Sulfur metabolism	thiamine diphosphate biosynthetic process	
Sulfur metabolism		
