id	db	name	filter_essential	filter_glucan	filter_lipid	filter_methyl	filter_nucleotide
HMMsoil10092	FOAM	DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]	False	False	False	False	True
HMMsoil10093	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil10094	FOAM	wapR; alpha-1,3-rhamnosyltransferase [EC:2.4.1.-]	True	True	False	False	False
HMMsoil10096	FOAM	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	False	True	False	False	True
HMMsoil10096	FOAM	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	False	True	False	False	True
HMMsoil10098	FOAM	cysC; adenylylsulfate kinase [EC:2.7.1.25]	False	False	False	False	True
HMMsoil100983	FOAM	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	False	True	True	False	True
HMMsoil100983	FOAM	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	False	True	True	False	True
HMMsoil101	FOAM	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	False	True	True	False	True
HMMsoil101	FOAM	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	False	True	True	False	True
HMMsoil101022	FOAM	XYLT; protein xylosyltransferase [EC:2.4.2.26]	True	True	False	False	False
HMMsoil101029	FOAM	STAR1, fetA; UDP-glucose/iron transport system ATP-binding protein	False	False	False	False	True
HMMsoil10104	FOAM	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]	True	True	False	False	False
HMMsoil101058	FOAM	mutY; A/G-specific adenine glycosylase [EC:3.2.2.31]	True	False	False	False	True
HMMsoil101061	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil101068	FOAM	nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]	False	False	False	False	True
HMMsoil10107	FOAM	rbsC; ribose transport system permease protein	False	False	False	False	True
HMMsoil101079	FOAM	udk, UCK; uridine kinase [EC:2.7.1.48]	False	False	False	False	True
HMMsoil10108	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil101082	FOAM	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	True	False	False	False	True
HMMsoil101082	FOAM	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	True	False	False	False	True
HMMsoil101083	FOAM	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]	True	False	False	False	True
HMMsoil101084	FOAM	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	False	False	False	True	False
HMMsoil101092	FOAM	bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein	True	False	False	False	False
HMMsoil101094	FOAM	RPC8, POLR3H; DNA-directed RNA polymerase III subunit RPC8	True	False	False	False	True
HMMsoil101094	FOAM	RPC8, POLR3H; DNA-directed RNA polymerase III subunit RPC8	True	False	False	False	True
HMMsoil101096	FOAM	CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.14]	False	False	False	False	True
HMMsoil101098	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil101101	FOAM	purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]	True	False	False	False	True
HMMsoil101105	FOAM	GALNT; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]	True	True	False	False	False
HMMsoil101109	FOAM	polA; DNA polymerase I [EC:2.7.7.7]	True	False	False	False	True
HMMsoil101109	FOAM	polA; DNA polymerase I [EC:2.7.7.7]	True	False	False	False	True
HMMsoil10111	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil101124	FOAM	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	True	True	False	False	True
HMMsoil101124	FOAM	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	True	True	False	False	True
HMMsoil101130	FOAM	rsbW; serine/threonine-protein kinase RsbW [EC:2.7.11.1]; spoIIAB; stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]; E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]	True	False	False	False	False
