id	db	name
K00137	KEGG	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	KEGG	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K00139	KEGG	ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	KEGG	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	KEGG	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	KEGG	AASDH; acyl-CoA synthetase [EC:6.2.1.-]
K00143	KEGG	LYS2; L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	KEGG	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	KEGG	feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	KEGG	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	KEGG	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	KEGG	ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150	KEGG	gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
K00151	KEGG	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	KEGG	nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	KEGG	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	KEGG	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00155	KEGG	LNAA, LNBA; L-tyrosine reductase [EC:1.2.1.101]
K00156	KEGG	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	KEGG	AOX; aldehyde oxidase [EC:1.2.3.1]
K00158	KEGG	spxB, poxL; pyruvate oxidase [EC:1.2.3.3]
K00161	KEGG	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00162	KEGG	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
K00163	KEGG	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	KEGG	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
