id,db,name
K26977,KEGG,Enterobacteria phage tip attachment protein J
K21472,KEGG,peptidoglycan LD-endopeptidase LytH [EC:3.4.-.-]
K01146,KEGG,protein Xni
K08307,KEGG,membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]
K10762,KEGG,putative replication protein
K24311,KEGG,UDP-4-keto-6-deoxy-GlcNAc-4-reductase [EC:1.1.1.-]
K26916,KEGG,Chlorovirus ATP-dependent RNA helicase
K03657,KEGG,ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]
K11642,KEGG,chromodomain-helicase-DNA-binding protein 3 [EC:5.6.2.-]
K10398,KEGG,kinesin family member 11
K19720,KEGG,collagen type III alpha
K22320,KEGG,2-alkyl-3-oxoalkanoate reductase [EC:1.1.1.412]
K04484,KEGG,DNA repair protein RadB
K26039,KEGG,Straboviridae ribonucleoside-diphosphate reductase subunit alpha [EC:1.17.4.1]
K03547,KEGG,DNA repair protein SbcD/Mre11
K26624,KEGG,Autographiviridae DNA polymerase
K24310,KEGG,UDP-N-acetyl-alpha-D-quinovosamine dehydrogenase [EC:1.1.1.426]
K00560,KEGG,thymidylate synthase [EC:2.1.1.45]
K01448,KEGG,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K19224,KEGG,peptidoglycan DL-endopeptidase LytE [EC:3.4.-.-]
K26029,KEGG,Straboviridae pre-baseplate central spike protein Gp5 [EC:3.2.1.17]
K07726,KEGG,putative transcriptional regulator
K07748,KEGG,sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170]
K07727,KEGG,putative transcriptional regulator
K04078,KEGG,chaperonin GroES
K16698,KEGG,teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]
K07459,KEGG,putative ATP-dependent endonuclease of the OLD family
K19223,KEGG,peptidoglycan DL-endopeptidase LytF [EC:3.4.-.-]
K00524,KEGG,"ribonucleotide reductase, class II [EC:1.17.4.2]"
K09961,KEGG,uncharacterized protein
K26872,KEGG,Drexlerviridae ATP-dependent helicase
K02337,KEGG,DNA polymerase III subunit alpha [EC:2.7.7.7]
K06871,KEGG,uncharacterized protein
K24212,KEGG,complement C1q and tumor necrosis factor-related protein 5
K21038,KEGG,Bordetella phage reverse transcriptase [EC:2.7.7.49]
K16870,KEGG,N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]
