level,ranking,coverage,precision
specific,calibrated,0.40901399051409776,0.7338733174057456
specific,calibrated,0.4114927187358486,0.7314798725745728
specific,calibrated,0.41397144695759946,0.7295181069721919
specific,calibrated,0.4164501751793503,0.7272935386024152
specific,calibrated,0.4189289034011011,0.7253797576378221
specific,calibrated,0.42140763162285194,0.7232622589220067
specific,calibrated,0.4238863598446028,0.7206634804610627
specific,calibrated,0.42636508806635365,0.7181508189390128
specific,calibrated,0.4288438162881045,0.7158339354193297
specific,calibrated,0.43132254450985535,0.7134331657180748
specific,calibrated,0.4338012727316062,0.711169715949673
specific,calibrated,0.436280000953357,0.7085495766184102
specific,calibrated,0.43875872917510783,0.7063392905643978
specific,calibrated,0.4412374573968587,0.7039917895532869
specific,calibrated,0.44371618561860954,0.7015093731535693
specific,calibrated,0.44619491384036036,0.6999626088349982
specific,calibrated,0.4486736420621112,0.6977954847277557
specific,calibrated,0.45115237028386207,0.6957050029055946
specific,calibrated,0.4536310985056129,0.693111963431934
specific,calibrated,0.4561098267273637,0.690651617285886
specific,calibrated,0.45858855494911455,0.6888935086533964
specific,calibrated,0.4610672831708654,0.6863272163349703
specific,calibrated,0.46354601139261625,0.6837883695819836
specific,calibrated,0.4660247396143671,0.6813276735027873
specific,calibrated,0.4685034678361179,0.6792999949127537
specific,calibrated,0.4709821960578688,0.6773442639542533
specific,calibrated,0.4734609242796196,0.6749056128869871
specific,calibrated,0.47593965250137044,0.6728929841253943
specific,calibrated,0.4784183807231213,0.6705026652717581
specific,calibrated,0.48089710894487214,0.6684839173316152
specific,calibrated,0.48337583716662297,0.6662886445441546
specific,calibrated,0.4858545653883738,0.6641157714005396
specific,calibrated,0.4883332936101247,0.6617209234223241
specific,calibrated,0.4908120218318755,0.6595930656048171
specific,calibrated,0.4932907500536263,0.657728173165193
specific,calibrated,0.49576947827537715,0.6557377049180327
specific,calibrated,0.49824820649712803,0.6534800287012676
specific,calibrated,0.5007269347188789,0.6515302965395783
specific,calibrated,0.5032056629406297,0.6497892293847393
specific,calibrated,0.5056843911623805,0.6479709666776642
specific,calibrated,0.5081631193841314,0.6457483232493786
specific,calibrated,0.5106418476058822,0.6440140023337223
specific,calibrated,0.513120575827633,0.6417390496539551
specific,calibrated,0.5155993040493839,0.6396246475292378
specific,calibrated,0.5180780322711347,0.6373924644615172
specific,calibrated,0.5205567604928856,0.6352731102055766
specific,calibrated,0.5230354887146365,0.6334928229665072
specific,calibrated,0.5255142169363872,0.6313211483513992
specific,calibrated,0.5279929451581381,0.6294858484178215
specific,calibrated,0.530471673379889,0.6273531922541223
specific,calibrated,0.5329504016016398,0.6254192567416484
specific,calibrated,0.5354291298233906,0.6235032272423771
specific,calibrated,0.5379078580451414,0.6212503876999425
specific,calibrated,0.5403865862668923,0.6193269527631985
specific,calibrated,0.5428653144886432,0.6175966984238486
specific,calibrated,0.5453440427103939,0.6155762422971024
specific,calibrated,0.5478227709321448,0.6137045899499673
specific,calibrated,0.5503014991538957,0.6121096626099009
specific,calibrated,0.5527802273756465,0.6103565731039537
specific,calibrated,0.5552589555973974,0.6086620594926385
specific,calibrated,0.5577376838191481,0.6068116747147558
specific,calibrated,0.560216412040899,0.6048074877685599
specific,calibrated,0.5626951402626499,0.603159811936126
specific,calibrated,0.5651738684844007,0.6012735630245013
specific,calibrated,0.5676525967061515,0.5991518663139774
specific,calibrated,0.5701313249279024,0.5971740311859872
specific,calibrated,0.5726100531496532,0.5954630593132154
specific,calibrated,0.5750887813714041,0.593642504869659
specific,calibrated,0.577567509593155,0.5917963108158296
specific,calibrated,0.5800462378149057,0.5898837161523606
specific,calibrated,0.5825249660366566,0.5881101427928481
specific,calibrated,0.5850036942584074,0.5863923405989
specific,calibrated,0.5874824224801583,0.5843239076635969
specific,calibrated,0.5899611507019091,0.5827576455379146
specific,calibrated,0.5924398789236599,0.5811642595647102
specific,calibrated,0.5949186071454108,0.5793037137935179
specific,calibrated,0.5973973353671617,0.5776580889686814
specific,calibrated,0.5998760635889124,0.5758671381461321
specific,calibrated,0.6023547918106633,0.5738139516480038
specific,calibrated,0.6048335200324141,0.572092839973204
specific,calibrated,0.607312248254165,0.5703072877830541
specific,calibrated,0.6097909764759158,0.5685362517099863
specific,calibrated,0.6122697046976666,0.5668574097862898
specific,calibrated,0.6147484329194175,0.5653859574303105
specific,calibrated,0.6172271611411684,0.5636560219330424
specific,calibrated,0.6197058893629191,0.56209376562439906
specific,calibrated,0.62218461758467,0.5605056502585711
specific,calibrated,0.6246633458064209,0.5588156740051128
specific,calibrated,0.6271420740281717,0.5571010527115874
specific,calibrated,0.6296208022499226,0.5555134950978536
specific,calibrated,0.6320995304716733,0.5539006824780363
specific,calibrated,0.6345782586934242,0.5525258215962441
specific,calibrated,0.6370569869151751,0.5511990721688054
specific,calibrated,0.6395357151369259,0.5495471993440912
specific,calibrated,0.6420144433586767,0.5478709581616364
specific,calibrated,0.6444931715804276,0.5463185533079398
specific,calibrated,0.6469718998021784,0.5449990790200774
specific,calibrated,0.6494506280239293,0.54346948511872
specific,calibrated,0.65192935624568,0.5417687273790809
specific,calibrated,0.6544080844674309,0.5401536948683396
specific,calibrated,0.6568868126891818,0.5386234171474185
specific,calibrated,0.6593655409109326,0.5369600578348094
specific,calibrated,0.6618442691326835,0.5353451690734272
specific,calibrated,0.6643229973544343,0.5337423312883436
specific,calibrated,0.6668017255761851,0.5323301283196912
specific,calibrated,0.669280453797936,0.5306434956020085
specific,calibrated,0.6717591820196869,0.5290757495121519
specific,calibrated,0.6742379102414376,0.5278023259924353
specific,calibrated,0.6767166384631885,0.5262564716655513
specific,calibrated,0.6791953666849393,0.5247219005509351
specific,calibrated,0.6816740949066902,0.5229537428761232
specific,calibrated,0.6841528231284411,0.5215119317192127
specific,calibrated,0.6866315513501918,0.5202540872643966
specific,calibrated,0.6891102795719427,0.5187977726282296
specific,calibrated,0.6915890077936936,0.517386359720164
specific,calibrated,0.6940677360154444,0.5159850279866763
specific,calibrated,0.6965464642371952,0.5146278870829769
specific,calibrated,0.699025192458946,0.5130416993419482
specific,calibrated,0.7015039206806969,0.5116365983759725
specific,calibrated,0.7039826489024478,0.5101398246267393
specific,calibrated,0.7064613771241985,0.5085523430383591
specific,calibrated,0.7089401053459494,0.5070432005379055
specific,calibrated,0.7114188335677003,0.5054440684780059
specific,calibrated,0.7138975617894511,0.5039228124061029
specific,calibrated,0.716376290011202,0.502378813587517
specific,calibrated,0.7188550182329528,0.500845462683598
specific,calibrated,0.7213337464547036,0.49965306459606806
specific,calibrated,0.7238124746764545,0.49817247851427443
specific,calibrated,0.7262912028982053,0.4967348144258852
specific,calibrated,0.7287699311199561,0.49537233868594044
specific,calibrated,0.731248659341707,0.4939865063068348
specific,calibrated,0.7337273875634578,0.4926100373558551
specific,calibrated,0.7362061157852087,0.49121046327171486
specific,calibrated,0.7386848440069596,0.48972348594843995
specific,calibrated,0.7411635722287103,0.4883750844132875
specific,calibrated,0.7436423004504612,0.48687542065959427
specific,calibrated,0.746121028672212,0.4854815524676569
specific,calibrated,0.7485997568939629,0.48419242892164666
specific,calibrated,0.7510784851157137,0.48288008123631515
specific,calibrated,0.7535572133374645,0.48148148148148145
specific,calibrated,0.7560359415592154,0.48018662715551214
specific,calibrated,0.7585146697809663,0.47883739198743125
specific,calibrated,0.760993398002717,0.4775282658398321
specific,calibrated,0.7634721262244679,0.47622764024599634
specific,calibrated,0.7659508544462188,0.47484208233500325
specific,calibrated,0.7684295826679696,0.4734654632300487
specific,calibrated,0.7709083108897204,0.4722213634255681
specific,calibrated,0.7733870391114712,0.47089278560202164
specific,calibrated,0.7758657673332221,0.46969557337265383
specific,calibrated,0.778344495554973,0.4685672290779925
specific,calibrated,0.7808232237767238,0.46723237996398154
specific,calibrated,0.7833019519984746,0.4658755514985547
specific,calibrated,0.7857806802202255,0.4647396038703024
specific,calibrated,0.7882594084419763,0.46348985577359175
specific,calibrated,0.7907381366637272,0.46221780148898334
specific,calibrated,0.7932168648854779,0.46086355578257865
specific,calibrated,0.7956955931072288,0.45957765463531525
specific,calibrated,0.7981743213289797,0.4584490429693332
specific,calibrated,0.8006530495507305,0.45711904265769654
specific,calibrated,0.8031317777724813,0.45594563314241626
specific,calibrated,0.8056105059942322,0.45477944439513623
specific,calibrated,0.808089234215983,0.4536499041439316
specific,calibrated,0.8105679624377339,0.45246846423005677
specific,calibrated,0.8130466906594848,0.45120628499399057
specific,calibrated,0.8155254188812355,0.45003945407253704
specific,calibrated,0.8180041471029864,0.4488505579674252
specific,calibrated,0.8204828753247372,0.4475526506899056
specific,calibrated,0.8229616035464881,0.4463204842306467
specific,calibrated,0.8254403317682389,0.44512459215199374
specific,calibrated,0.8279190599899897,0.4439646486455365
specific,calibrated,0.8303977882117406,0.4429264372434775
specific,calibrated,0.8328765164334915,0.4418944054943483
specific,calibrated,0.8353552446552422,0.4406973094810123
specific,calibrated,0.8378339728769931,0.4395357437487554
specific,calibrated,0.8403127010987439,0.43832430439345377
specific,calibrated,0.8427914293204948,0.4372331099233619
specific,calibrated,0.8452701575422457,0.43614831524037784
specific,calibrated,0.8477488857639964,0.4350417498383424
specific,calibrated,0.8502276139857473,0.4339136041263701
specific,calibrated,0.8527063422074982,0.43284791905414094
specific,calibrated,0.855185070429249,0.4316769320810457
specific,calibrated,0.8576637986509998,0.43054050298735586
specific,calibrated,0.8601425268727507,0.4294106237357644
specific,calibrated,0.8626212550945015,0.42839775647224604
specific,calibrated,0.8650999833162524,0.4274182439320054
specific,calibrated,0.8675787115380031,0.42641685667976154
specific,calibrated,0.870057439759754,0.4254759621969593
specific,calibrated,0.8725361679815049,0.42440383512251084
specific,calibrated,0.8750148962032557,0.4233922588728788
specific,calibrated,0.8774936244250066,0.42235923622239724
specific,calibrated,0.8799723526467574,0.42127786354649116
specific,calibrated,0.8824510808685082,0.42020256583389604
specific,calibrated,0.8849298090902591,0.41910635891082443
specific,calibrated,0.8874085373120099,0.41806999167405257
specific,calibrated,0.8898872655337607,0.41706618100008036
specific,calibrated,0.8923659937555116,0.4160412382147913
specific,calibrated,0.8948447219772624,0.41491543481155946
specific,calibrated,0.8973234501990133,0.4138224122818667
specific,calibrated,0.8998021784207642,0.41278838767780046
specific,calibrated,0.9022809066425149,0.41189212034762396
specific,calibrated,0.9047596348642658,0.41089539263981456
specific,calibrated,0.9072383630860167,0.40982529883094704
specific,calibrated,0.9097170913077675,0.4088396342581676
specific,calibrated,0.9121958195295183,0.4077809421785593
specific,calibrated,0.9146745477512691,0.4067801026656591
specific,calibrated,0.91715327597302,0.4057326992541774
specific,calibrated,0.9196320041947709,0.40476869249708436
specific,calibrated,0.9221107324165216,0.40380986843805733
specific,calibrated,0.9245894606382725,0.40277885185471607
specific,calibrated,0.9270681888600234,0.401779057510862
specific,calibrated,0.9295469170817742,0.40088715673957076
specific,calibrated,0.932025645303525,0.39987213911264546
specific,calibrated,0.9345043735252759,0.3989135147542656
specific,calibrated,0.9369831017470267,0.3978836517182611
specific,calibrated,0.9394618299687776,0.3969860719993911
specific,calibrated,0.9419405581905284,0.3960426102578376
specific,calibrated,0.9444192864122792,0.3950283911671924
specific,calibrated,0.9468980146340301,0.3940949935815148
specific,calibrated,0.9493767428557809,0.39314136519970877
specific,calibrated,0.9518554710775318,0.3921676640709117
specific,calibrated,0.9543341992992826,0.3913238930096651
specific,calibrated,0.9568129275210334,0.390409764603313
specific,calibrated,0.9592916557427843,0.3894258242440806
specific,calibrated,0.9617703839645351,0.3884469556166828
specific,calibrated,0.964249112186286,0.3875225548112811
specific,calibrated,0.9667278404080368,0.38660289440595647
specific,calibrated,0.9692065686297876,0.38568793803024715
specific,calibrated,0.9716852968515385,0.38477764968480954
specific,calibrated,0.9741640250732894,0.38384752770777775
specific,calibrated,0.9766427532950401,0.38287331917905165
specific,calibrated,0.979121481516791,0.38190404323166427
specific,calibrated,0.9816002097385419,0.38093966249848243
specific,calibrated,0.9840789379602927,0.38002857904042237
specific,calibrated,0.9865576661820435,0.37917039112893486
specific,calibrated,0.9890363944037943,0.3782201122972745
specific,calibrated,0.9915151226255452,0.3772986226292637
specific,calibrated,0.9939938508472961,0.3764057067497902
specific,calibrated,0.9964725790690468,0.37549331483651843
specific,calibrated,0.9989513072907977,0.3746570276525183
specific,d1_only,2.3833925209142695e-5,1
specific,d1_only,0.0025025621469599827,0.8666666666666667
specific,d1_only,0.004981290368710823,0.8803827751196173
specific,d1_only,0.007460018590461663,0.8817891373801917
specific,d1_only,0.009938746812212504,0.86810551558753
specific,d1_only,0.012417475033963343,0.8618042226487524
specific,d1_only,0.014896203255714184,0.8544
specific,d1_only,0.017374931477465022,0.8436213991769548
specific,d1_only,0.019853659699215865,0.82953181272509
specific,d1_only,0.022332387920966704,0.8089647812166488
specific,d1_only,0.024811116142717544,0.7877041306436119
specific,d1_only,0.027289844364468383,0.7737991266375546
specific,d1_only,0.029768572586219226,0.7574059247397918
specific,d1_only,0.032247300807970065,0.7398373983739838
specific,d1_only,0.034726029029720905,0.7247769389155799
specific,d1_only,0.037204757251471744,0.7155669442664958
specific,d1_only,0.039683485473222584,0.7087087087087087
specific,d1_only,0.04216221369497342,0.6947427925381572
specific,d1_only,0.04464094191672426,0.6865990389749066
specific,d1_only,0.04711967013847511,0.6793120890237734
specific,d1_only,0.04959839836022595,0.6655454108601634
specific,d1_only,0.05207712658197679,0.6585812356979405
specific,d1_only,0.05455585480372763,0.6526867627785059
specific,d1_only,0.057034583025478466,0.6456330965315503
specific,d1_only,0.059513311247229306,0.6415698838606327
specific,d1_only,0.061992039468980145,0.635524798154556
specific,d1_only,0.06447076769073098,0.6288354898336415
specific,d1_only,0.06694949591248182,0.6222855108579566
specific,d1_only,0.06942822413423266,0.6148300720906282
specific,d1_only,0.0719069523559835,0.6102088167053364
specific,d1_only,0.07438568057773434,0.6039730855495034
specific,d1_only,0.07686440879948518,0.5990697674418605
