identity_stratum,level,min_seq_id,n_report,n_matched_coverage,coverage,cluster_micro,cluster_micro_lo,cluster_micro_hi,cluster_macro,cluster_n_labels,embedding_micro,embedding_micro_lo,embedding_micro_hi,embedding_macro,embedding_n_labels,embedding_p_at_cut,macro_delta_cluster_minus_embedding,micro_delta_cluster_minus_embedding
>=90%,specific,0.3,4644,4425,0.9528423772609819,0.8931073446327683,0.8836600720769832,0.9018726505202757,0.8854378006277757,1286,0.5896045197740113,0.5750391133816883,0.6040144793230044,0.3902639831819701,1459,0.031081081081081083,0.4951738174458056,0.303502824858757
>=90%,specific,0.5,4644,4157,0.8951335055986219,0.9740197257637719,0.9687286968937724,0.9784354537434449,0.9609023750060945,1253,0.6232860235746933,0.6084481217822663,0.6378962716212221,0.42515955568575464,1354,0.05065554231227652,0.53574281932034,0.3507337021890786
>=90%,specific,0.7,4644,3826,0.8238587424633936,0.9903293256664925,0.9866992656943177,0.9929757161639399,0.9879907208610527,1133,0.6717198118139048,0.6566741323209884,0.6864209972530388,0.4858006614812457,1206,0.07191780821917806,0.502190059379807,0.3186095138525876
>=90%,specific,0.9,4644,3460,0.7450473729543498,0.9933526011560694,0.990044516984398,0.9955663723819056,0.989159920566467,1054,0.7271676300578035,0.7120800950750472,0.7417512810479256,0.5519162132199801,1057,0.14701986754966886,0.4372437073464869,0.2661849710982659
>=90%,L1,0.3,4644,4443,0.9567183462532299,0.9635381498987171,0.9576140243223249,0.9686613797757208,0.9490017697321865,28,0.7377897816790457,0.7246550214874671,0.7505136915154876,0.6737527019903263,28,0.23949337938975246,0.2752490677418602,0.22574836821967137
>=90%,L1,0.5,4644,4168,0.8975021533161068,0.9889635316698656,0.985311182025189,0.9917153666338012,0.9753936292037253,28,0.7703934740882917,0.7573794145936451,0.7829095551505562,0.7036665023846728,28,0.3060263653483992,0.27172712681905253,0.21857005758157388
>=90%,L1,0.7,4644,3829,0.8245047372954349,0.9963436928702011,0.9938716904234224,0.9978207395481162,0.9888040596272694,28,0.8088273700705145,0.7960649337155989,0.820970740286687,0.738113950418888,28,0.35602094240837684,0.2506901092083813,0.18751632279968655
>=90%,L1,0.9,4644,3465,0.7461240310077519,0.9974025974025974,0.9950705974202803,0.9986328913755183,0.9981265220003479,28,0.8510822510822511,0.8388396694990529,0.8625472142375813,0.7826281050035313,28,0.42228530872959547,0.2154984169968166,0.1463203463203463
>=90%,category,0.3,4644,4452,0.958656330749354,0.9941599281221922,0.9914563640741297,0.9960114130569065,0.9911528575678075,3,0.910826594788859,0.9020968110248194,0.9188479909627559,0.9045662757206067,3,0.7370786516853932,0.0865865818472008,0.08333333333333326
>=90%,category,0.5,4644,4171,0.8981481481481481,0.9983217453847998,0.9965395819027691,0.9991868188306143,0.9973675953947693,3,0.9216015344042197,0.9130505357219105,0.929376635646699,0.9162444138844817,3,0.7980997624703088,0.08112318151028752,0.07672021098058013
